Day;Item;Price;Quantity;Cost;Category;
L;Primitiva;419,00;419;0;Lotery;
L;Joker Prim.;18,00;18;0;Lotery;
L;Bono Loto;240,50;481;0;Lotery;
L;Gordo;87,00;58;0;Lotery;
L;Quiniela;1,50;2;0;Lotery;
L;Euromillones;380,00;152;0;Lotery;
L;Lototurf;1,00;1;0;Lotery;
M;Primitiva;89,00;89;0;Lotery;
M;Joker Prim.;6,00;6;0;Lotery;
M;Bono Loto;60,50;121;0;Lotery;
M;Gordo;7,50;5;0;Lotery;
M;Quiniela;1,50;2;0;Lotery;
M;Euromillones;197,50;79;0;Lotery;
X;Primitiva;198,00;198;0;Lotery;
X;Joker Prim.;4,00;4;0;Lotery;
X;Bono Loto;102,00;204;0;Lotery;
X;Gordo;4,50;3;0;Lotery;
X;Quiniela;7,50;10;0;Lotery;
X;Euromillones;90,00;36;0;Lotery;
J;Primitiva;177,00;177;0;Lotery;
J;Joker Prim.;7,00;7;0;Lotery;
J;Bono Loto;30,00;60;0;Lotery;
J;Gordo;10,50;7;0;Lotery;
J;Quiniela;43,50;58;0;Lotery;
J;Quinigol;1,00;1;0;Lotery;
J;Euromillones;30,00;12;0;Lotery;
V;Primitiva;57,00;57;0;Lotery;
V;Joker Prim.;1,00;1;0;Lotery;
V;Bono Loto;60,00;120;0;Lotery;
V;Gordo;15,00;10;0;Lotery;
V;Quiniela;30,00;40;0;Lotery;
V;Elige 8;1,00;2;0;Lotery;
V;Quinigol;1,00;1;0;Lotery;
V;Euromillones;135,00;54;0;Lotery;
S;Primitiva;68,00;68;0;Lotery;
S;Joker Prim.;3,00;3;0;Lotery;
S;Bono Loto;20,00;40;0;Lotery;
S;Gordo;19,50;13;0;Lotery;
S;Quiniela;24,00;32;0;Lotery;
S;Euromillones;45,00;18;0;Lotery;
D;Primitiva;151,00;151;0;Lotery;
D;Joker Prim.;13,00;13;0;Lotery;
D;Bono Loto;120,00;240;0;Lotery;
D;Gordo;141,00;94;0;Lotery;
D;Euromillones;137,50;55;0;Lotery;
D;Lototurf;3,00;3;0;Lotery;
