Day;Item;Price;Quantity;Cost;Category;;;;
L;Primitiva;666,00;666;0;Lotery;;;;
L;Joker Prim.;42,00;42;0;Lotery;;;;
L;Bono Loto;319,00;638;0;Lotery;;;;
L;Gordo;99,00;66;0;Lotery;;;;
L;Quiniela;3,00;4;0;Lotery;;;;
L;Quinigol;1,00;1;0;Lotery;;;;
L;Euromillones;627,50;251;0;Lotery;;;;
L;Lototurf;2,00;2;0;Lotery;;;;
M;Primitiva;151,00;151;0;Lotery;;;;
M;Joker Prim.;5,00;5;0;Lotery;;;;
M;Bono Loto;105,00;210;0;Lotery;;;;
M;Gordo;16,50;11;0;Lotery;;;;
M;Euromillones;200,00;80;0;Lotery;;;;
X;Quinigol;1,00;1;0;Lotery;;;;
X;Euromillones;147,50;59;0;Lotery;;;;
X;Lototurf;1,00;1;0;Lotery;;;;
J;Primitiva;319,00;319;0;Lotery;;;;
J;Joker Prim.;4,00;4;0;Lotery;;;;
J;Bono Loto;29,50;59;0;Lotery;;;;
J;Gordo;16,50;11;0;Lotery;;;;
J;Euromillones;110,00;44;0;Lotery;;;;
V;Primitiva;71,00;71;0;Lotery;;;;
V;Joker Prim.;1,00;1;0;Lotery;;;;
V;Bono Loto;24,50;49;0;Lotery;;;;
V;Gordo;9,00;6;0;Lotery;;;;
V;Quiniela;9,00;12;0;Lotery;;;;
V;Quinigol;1,00;1;0;Lotery;;;;
V;Euromillones;147,50;59;0;Lotery;;;;
V;Lototurf;1,00;1;0;Lotery;;;;
S;Primitiva;112,00;112;0;Lotery;;;;
S;Joker Prim.;7,00;7;0;Lotery;;;;
S;Bono Loto;41,00;82;0;Lotery;;;;
S;Gordo;16,50;11;0;Lotery;;;;
S;Quiniela;10,50;14;0;Lotery;;;;
S;Quinigol;1,00;1;0;Lotery;;;;
S;Euromillones;20,00;8;0;Lotery;;;;
S;Lototurf;1,00;1;0;Lotery;;;;
D;Primitiva;237,00;237;0;Lotery;;;;
D;Joker Prim.;3,00;3;0;Lotery;;;;
D;Bono Loto;109,00;218;0;Lotery;;;;
D;Gordo;168,00;112;0;Lotery;;;;
D;Quiniela;6,00;8;0;Lotery;;;;
D;Euromillones;120,00;48;0;Lotery;;;;
D;Lototurf;3,00;3;0;Lotery;;;;
