;;Ventas;;;Cancelaciones;;
Día;Juego;Importe;Trans.;Apuestas;Importe;Trans.;Apuestas
L;Primitiva;488;114;488;0;0;0
L;Joker Prim.;30;0;30;0;0;0
L;Bono Loto;255;62;510;18;1;36
L;Gordo;111;45;74;0;0;0
L;Quiniela;6;3;8;0;0;0
L;Quinigol;1;1;1;0;0;0
L;Euromillones;497,5;68;199;0;0;0
L;Lototurf;1;1;1;0;0;0
M;Primitiva;167;26;167;0;0;0
M;Joker Prim.;4;0;4;0;0;0
M;Bono Loto;63;19;126;0;0;0
M;Gordo;7,5;3;5;0;0;0
M;Euromillones;162,5;30;65;0;0;0
J;Primitiva;214;47;214;0;0;0
J;Joker Prim.;1;0;1;0;0;0
J;Bono Loto;37;15;74;0;0;0
J;Gordo;6;3;4;0;0;0
J;Quiniela;33;6;44;0;0;0
J;Euromillones;105;25;42;0;0;0
V;Primitiva;83;22;83;0;0;0
V;Bono Loto;30,5;20;61;0;0;0
V;Gordo;13,5;7;9;0;0;0
V;Quiniela;66;16;88;0;0;0
V;Elige 8;0,5;0;1;0;0;0
V;Euromillones;107,5;25;43;0;0;0
V;Lototurf;1;1;1;0;0;0
S;Primitiva;155;34;155;0;0;0
S;Joker Prim.;7;0;7;0;0;0
S;Bono Loto;32;20;64;0;0;0
S;Gordo;16,5;6;11;0;0;0
S;Quiniela;36;9;48;0;0;0
S;Elige 8;0,5;0;1;0;0;0
S;Euromillones;102,5;14;41;0;0;0
D;Primitiva;328;59;328;0;0;0
D;Joker Prim.;13;0;13;0;0;0
D;Bono Loto;223,5;49;447;0;0;0
D;Gordo;151,5;58;101;0;0;0
D;Euromillones;197,5;28;79;0;0;0
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
