Día;Juego;Importe;Trans.;Apuestas;Importe;Trans.;Apuestas
L;Primitiva;438;105;438;0;0;0
L;Joker Prim.;28;0;28;0;0;0
L;Bono Loto;262,5;67;525;0;0;0
L;Gordo;82,5;36;55;0;0;0
L;Quiniela;9;5;12;0;0;0
L;Elige 8;1;0;2;0;0;0
L;Euromillones;422,5;67;169;0;0;0
L;Lototurf;1;1;1;0;0;0
M;Primitiva;167;41;167;0;0;0
M;Bono Loto;34;18;68;0;0;0
M;Gordo;15;4;10;0;0;0
M;Quiniela;39,75;9;53;0;0;0
M;Elige 8;1,5;0;3;0;0;0
M;Euromillones;287,5;49;115;0;0;0
X;Primitiva;222;32;222;0;0;0
X;Joker Prim.;4;0;4;0;0;0
X;Bono Loto;52;29;104;0;0;0
X;Gordo;16,5;5;11;0;0;0
X;Euromillones;115;25;46;0;0;0
J;Primitiva;210;49;210;0;0;0
J;Joker Prim.;2;0;2;0;0;0
J;Bono Loto;26,5;18;53;0;0;0
J;Gordo;6;2;4;0;0;0
J;Quiniela;14,25;5;19;0;0;0
J;Quinigol;1;1;1;0;0;0
J;Euromillones;77,5;16;31;0;0;0
V;Primitiva;88;36;88;0;0;0
V;Joker Prim.;3;0;3;0;0;0
V;Bono Loto;187;96;374;0;0;0
V;Gordo;27;10;18;0;0;0
V;Quiniela;36,75;16;49;0;0;0
V;Elige 8;1,5;0;3;0;0;0
V;Quinigol;7;4;7;0;0;0
V;Euromillones;155;38;62;0;0;0
V;Lototurf;1;1;1;0;0;0
S;Primitiva;205;51;205;0;0;0
S;Joker Prim.;3;0;3;0;0;0
S;Bono Loto;29;20;58;0;0;0
S;Gordo;25,5;13;17;0;0;0
S;Quiniela;189;47;252;3;1;4
S;Elige 8;5,5;0;11;0;0;0
S;Quinigol;1;1;1;0;0;0
S;Euromillones;45;12;18;0;0;0
S;Lototurf;2;2;2;0;0;0
D;Primitiva;223;31;223;0;0;0
D;Joker Prim.;6;0;6;0;0;0
D;Bono Loto;91;18;182;0;0;0
D;Gordo;114;42;76;0;0;0
D;Euromillones;107,5;17;43;0;0;0
D;Lototurf;4;4;4;0;0;0
